Horário de Partida,Horário de Chegada,De,Para,Duração da viagem,Tipo de Serviço,Preço da passagem
09:00,15:29,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 29m,Semileito - Premium,"R$109,99 - R$87,90"
22:00,05:00,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 0m,Semileito - Premium,"R$109,99 - R$87,90"
00:20,06:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Cama
5 disponíveis","R$218,32"
00:20,06:49,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 29m,Executivo,"R$109,99 - R$79,99"
00:20,06:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$93,59"
02:35,09:05,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Semileito - Comfort
4 disponíveis","R$143,99"
02:35,09:05,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$63,99"
05:30,12:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$99,52"
06:00,12:50,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 50m,Executivo,"R$109,99 - R$79,99"
07:00,13:30,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Conv - PLUS,"R$79,00"
07:30,14:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Leito-Cama
5 disponíveis","R$199,99 - R$179,99"
07:30,14:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito - Premium,"R$109,99 - R$89,99"
07:30,14:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Cama
4 disponíveis","R$158,36"
07:30,14:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$77,48"
07:35,14:50,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 15m,Convencional,"R$69,99"
09:00,15:29,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 29m,"Leito-Cama
5 disponíveis","R$199,99 - R$179,99"
09:20,16:05,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 45m,"Leito
3 disponíveis","R$214,83"
09:20,16:05,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 45m,Semileito - C/ AR,"R$104,32"
09:20,16:05,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 45m,"Leito
6 disponíveis","R$196,86"
09:20,16:05,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 45m,"Semileito - C/ AR
3 disponíveis","R$94,71"
09:29,15:59,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Leito-Cama
5 disponíveis","R$199,99 - R$179,99"
09:29,15:59,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Convencional - DD,"R$99,99"
09:30,16:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Leito - Individual
11 disponíveis","R$111,61"
09:30,16:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Leito,"R$101,09"
11:00,17:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 0m,Convencional,"R$104,99 - R$79,99"
11:30,18:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,"Cama
4 disponíveis","R$139,42"
11:30,18:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$75,47"
12:15,18:45,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Conv - PLUS,"R$79,00"
12:30,19:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Executivo,"R$109,99 - R$79,99"
13:00,19:30,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Semileito,"R$75,47"
13:00,19:30,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 30m,Cama,"R$255,59"
13:00,19:20,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,Semileito,"R$125,31 - R$74,99"
13:00,19:20,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,"Cama
1 disponíveis","R$145,72"
13:00,19:20,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,"Cama - Individual
1 disponíveis","R$149,00"
14:00,20:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 0m,Semileito - Premium,"R$109,99 - R$89,99"
14:00,20:00,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 0m,Leito-Cama,"R$189,99"
14:00,21:30,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 30m,"Leito
15 disponíveis","R$139,90"
14:00,21:30,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 30m,Semileito,"R$75,64"
14:25,21:30,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 5m,"Leito
7 disponíveis","R$79,99"
14:25,21:30,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 5m,"Leito - Individual
11 disponíveis","R$99,99"
14:25,21:30,"Sao Paulo, SP - Tiete","Curitiba, PR",7h 5m,Semileito,"R$78,99"
15:00,21:20,"Sao Paulo, SP - Tiete","Curitiba, PR",6h 20m,Executivo,"R$109,99 - R$79,99"
