Adesivo,Preço,Link
Vegeta Virus,"R$ 4,99",https://www.nerdstickers.com.br/todos/Vegeta-Virus/
Vegeta super sayajin,"R$ 4,99",https://www.nerdstickers.com.br/todos/Vegeta-super-sayajin/
Game skin Vegeta Virus,"R$ 39,90",https://www.nerdstickers.com.br/todos/Game-skin-Vegeta-Virus/
Card Number Vegeta Virus,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Number-Vegeta-Virus/
Genki dama,"R$ 8,99",https://www.nerdstickers.com.br/todos/Genki-dama/
Frieza,"R$ 4,99",https://www.nerdstickers.com.br/todos/Frieza/
Super Potato,"R$ 4,99",https://www.nerdstickers.com.br/todos/Super-Potato/
Dezoito,"R$ 4,99",https://www.nerdstickers.com.br/todos/Dezoito/
Namekuzei,"R$ 8,99",https://www.nerdstickers.com.br/todos/Namekuzei/
Shen,"R$ 2,99",https://www.nerdstickers.com.br/todos/Shen/
Card Kame House,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Kame-House/
Son Go VS Corona,"R$ 4,99",https://www.nerdstickers.com.br/todos/Son-Go-VS-Corona/
Card Mr. Kami,"R$ 6,99",https://www.nerdstickers.com.br/todos/Card-Mr.-Kami/
Ultimate fusion,"R$ 4,99",https://www.nerdstickers.com.br/todos/Ultimate-fusion/
SSJ,"R$ 4,99",https://www.nerdstickers.com.br/todos/SSJ/
